trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'e': 0.29723582548129573, 'a': 0.9}",35,19,20.835369381114408,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.2886306666449516, 'a': 0.9}",20,8,8.67750345562504,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'e': 0.28000212888241743, 'a': 0.9}",30,12,-17.193844258699386,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
144,False,"{'e': 0.2713509111005347, 'a': 0.9}",30,9,-4.697354299165427,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
145,False,"{'e': 0.26267771404321355, 'a': 0.9}",30,17,11.87261478217423,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
146,False,"{'e': 0.2539832402346734, 'a': 0.9}",30,0,33.771066123107445,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
147,False,"{'e': 0.24526819392253915, 'a': 0.9}",25,2,32.34255832506832,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'e': 0.2365332810207974, 'a': 0.9}",25,3,-24.965592140853637,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
149,False,"{'e': 0.22777920905261723, 'a': 0.9}",30,2,-23.46721890608951,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 1}",1
150,False,"{'e': 0.2190066870930415, 'a': 0.9}",20,3,-30.516304286889664,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
151,False,"{'e': 0.21021642571155302, 'a': 0.9}",20,13,1.7568525752668205,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'e': 0.20140913691451726, 'a': 0.9}",30,0,-88.41304721916404,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
153,False,"{'e': 0.19258553408751153, 'a': 0.9}",20,9,7.343399755535928,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'e': 0.183746331937541, 'a': 0.9}",35,23,-21.34190490710467,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'e': 0.17489224643514614, 'a': 0.9}",25,3,-41.90094618536789,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
156,False,"{'e': 0.1660239947564121, 'a': 0.9}",30,13,32.62045438401549,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'e': 0.1571422952248764, 'a': 0.9}",25,19,12.528588654689047,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
